SITE_ID,NAME,NOM,STREET,PLAQUE LOCATION,TOWN,PROV,REASON FOR DESIGNATION,RAISION DE LA DESIGNATION,LATITUDE (WGS84),LONGITUDE (WGS84)
220,Hawthorne Cottage,Cottage Hawthorne,north side of Irishtown Road,<Null>,Brigus,Newfoundland and Labrador,"Picturesque cottage, home of Captain Bob Bartlett from 1875-1946","Cottage Pittoresque, r&eacute;sidence du capitaine Bob Bartlett de 1875 &agrave; 1946",47.535158,-53.209958
333,Hay River Mission Sites,Sites de la mission Hay River,<Null>,<Null>,Hay River Indian Reserve,Northwest Territories,"Mission buildings, significant to Dene community","B&acirc;timents de mission, importants pour les D&eacute;n&eacute;s de l'endroit",60.85729,-115.72331
22,Head-Smashed-In Buffalo Jump,Head-Smashed-in Buffalo Jump,Secondary Highway #785,<Null>,Fort Macleod,Alberta,World Heritage Site - Aboriginal bison drive,Site du patrimoine mondial - pr&eacute;cipice a bisons utilis&eacute; par les Autochtones,49.705575,-113.653126
227,Hebron Mission,Mission de Hebron,<Null>,<Null>,Hebron,Newfoundland and Labrador,"Provided religious instruction to the local Inuit and was also an educational, commercial and medical centre; example of Moravian mission architecture; 1829-37","Lieu de cat&eacute;chisation des Inuits de l'endroit et servi, en m&ecirc;me temps, de lieu d'enseignement et de commerce et de dispensaire; exemple de l'architecture des missions moraves (1829-37)",58.198975,-62.62736
2228,Heliconian Hall,Heliconian Hall,35 Hazelton Avenue,<Null>,Toronto,Ontario,"Carpenter's Gothic Revival; home of the Heliconian Club, established in 1909 and unique in Canada as a club for professional women from a variety of artistic disciplines",Style de n&eacute;o-gothique &agrave; la mani&egrave;re Carpenter; cercle fond&eacute; en 1909 qui est le seul au Canada &agrave; avoir &eacute;t&eacute; cr&eacute;&eacute; pour r&eacute;unir des artistes professionnelles de disciplines multiples,43.671885,-79.393268
291,Henry House,Maison Henry,1222 Barrington Street,On wall of building,Halifax,Nova Scotia,"Common 19th-century urban type in local ironstone, 1834; residence of Father of Confederation, William A. Henry","Maison de ville d'un type commun au XIXe si&egrave;cle en pierre ferrugineuse (1834); maison de William A. Henry, p&egrave;re de la Conf&eacute;d&eacute;ration",44.640351,-63.570773
1909,Henry-Stuart House,Maison Henry-Stuart,82 Grande-All&eacute;e West (corner of Cartier Avenue),<Null>,Qu&eacute;bec,Quebec,"Outstanding illustration of a 19th-century Quebec cottage typically associated with the Picturesque movement, 1849",Exemple remarquable d'une maison du XIXe si&egrave;cle reli&eacute;e au mouvement pittoresque au Qu&eacute;bec (1849),46.802495,-71.223994
357,Her Majesty's / St. Paul's Chapel of the Mohawks,Chapelle de Sa Majest&eacute; / St. Paul des Agniers,Mohawk Road,<Null>,Brantford,Ontario,"First Protestant church in Upper Canada, 1785",Premi&egrave;re &eacute;glise protestante dans le Haut-Canada (1785),43.124417,-80.235033
14,Heritage Hall - Southern Alberta Institute of Technology,Heritage Hall du Southern Alberta Institute of Technology,1301 16th North West Avenue,mounted on a concrete plinth in front of entrance to building,Calgary,Alberta,"Early technical college in Collegiate Gothic Revival, 1921-1922",Vieil &eacute;tablissement d'enseignement technique appartenant au style gothique Coll&eacute;gial (1921-1922),51.06409,-114.089191
1933,Hersey Pavilion,Pavillon Hersey,3550 University Street,Royal Victoria Hospital,Montr&eacute;al,Quebec,Nurses' residences were central to the nursing culture,Les r&eacute;sidences d'infirmi&egrave;res &eacute;taient un &eacute;l&eacute;ment essentiel de la culture infirmi&egrave;re,45.507086,-73.581653
348,Hillary House,Maison Hillary,72 Yonge Street North,<Null>,Aurora,Ontario,"Picturesque Gothic Revival style, 1861-62",Maison pittoresque de style gothique construite en 1861-1862,44.00295,-79.468533
550,HMCS Haida,N.C.S.M. Haida,*658 Catharine Street North,Hamilton Harbour on dock beside HMCS Haida,Hamilton,Ontario,Last of World War II tribal class destroyers,Dernier repr&eacute;sentant des destroyers de classe &laquo;Tribal&raquo; de la Seconde Guerre mondiale,43.275298,-79.85535
292,HMCS Sackville,N.C.S.M. Sackville,1655 Lower Water Street,<Null>,Halifax,Nova Scotia,"Only surviving Flower-class corvette; Battle of Atlantic, World War II","Seule corvette de classe flower &agrave; exister encore; bataille de l'atlantique, la seconde guerre mondiale",44.647449,-63.569988
654,Hochelaga,Hochelaga,Sherbrooke Street West,on a boulder at the Main Gates of McGill University,Montr&eacute;al,Quebec,Iroquois village visited in 1535 by Jacques Cartier,Village Iroquois o&ugrave; s'est rendu Jacques Cartier en 1535,45.503582,-73.575149
691,Holy Trinity Anglican Cathedral,Cath&eacute;drale anglicane Holy Trinity,31 des Jardins Street,On monument north west corner of lot,Qu&eacute;bec,Quebec,"Important early Palladian church, built 1800-04",Importante &eacute;glise ancienne de style Palladien construite entre 1800 et 1804,46.812916,-71.207365
144,Holy Trinity Anglican Church,&Eacute;glise anglicane Holy Trinity,269 Donald Street (at Graham Avenue),<Null>,Winnipeg,Manitoba,"Fine example of High Victorian Gothic Revival style, 1883-84",Beau sp&eacute;cimen du style n&eacute;o-gothique de l'apog&eacute;e victorien (1883-1884),49.892312,-97.142621
770,Holy Trinity Church,&Eacute;glise Holy Trinity,<Null>,Lac La Ronge Provincial Park,Stanley Mission,Saskatchewan,"Early Anglican Gothic Revival mission church in the West, 1852-56",Vieille &eacute;glise du style n&eacute;o-gothique de mission anglicane &eacute;difi&eacute;e dans l'Ouest (1852-56),55.417663,-104.550235
416,Homer Watson House,Maison Homer-Watson,1754 Old Mill Road,<Null>,Kitchener,Ontario,Murals and home of landscape painter H. Watson,Peintures murales et maison du paysagiste H. Watson,43.394733,-80.4188
426,Homewood,Homewood,north side of Highway 2,<Null>,Maitland,Ontario,Fine 1800 fieldstone Palladian residence,"Belle r&eacute;sidence de style palladien en pierres des champs, construite en 1800",44.65583,-75.58812
228,Hopedale Mission,Mission de Hopedale,<Null>,Beside the Mission church,Hopedale,Newfoundland and Labrador,Symbol of interaction between Labrador Inuit and Moravian Missionaires; representative of Moravian Mission architecture in Labrador,Symbole de l'interaction entre les Inuits du Labrador et les missionnaires moraves; exemple de l'architecture de la mission morave au Labrador,55.458707,-60.212332
1887,H&ocirc;pital-G&eacute;n&eacute;ral de Qu&eacute;bec Cemetery,Cimeti&egrave;re de l'H&ocirc;pital-G&eacute;n&eacute;ral-de-Qu&eacute;bec,Saint Anselme Street,<Null>,Qu&eacute;bec,Quebec,"Final resting place of over 1,000 French, British, Canadians and Aboriginal soldiers and officers","Lieu de s&eacute;pulture de plus de 1 000 soldats et officiers fran&ccedil;ais, britanniques, canadiens et autochtones",46.814427,-71.231653
692,H&ocirc;tel-Dieu de Qu&eacute;bec,H&ocirc;tel-Dieu de Qu&eacute;bec,11 C&ocirc;te du Palais (rue Charlevoix),On wall near front entrance,Qu&eacute;bec,Quebec,First permanent hospital established in North America north of Mexico,Premier h&ocirc;pital permanent cr&eacute;&eacute; en Am&eacute;rique du Nord au nord du Mexique,46.815083,-71.211008
27,Howse Pass,Col-Howse,<Null>,<Null>,Banff National Park of Canada,Alberta,First crossed by David Thompson in 1807,Franchi pour la premi&egrave;re fois en 1807 par David Thompson,51.799883,-116.756628
753,Humboldt Post Office,Bureau de poste de Humboldt,715 - 6th Avenue (corner of Main St.),<Null>,Humboldt,Saskatchewan,"Romanesque Revival Post Office reflects growth of West, 1911","Bureau de poste de style n&eacute;o-roman construit en 1911, t&eacute;moigne de la croissance de l'Ouest (1911)",52.199131,-105.122527
381,Huron County Gaol,Prison du comt&eacute; de Huron,181 Victoria Street North,Outside of building,Goderich,Ontario,"Distinctive octagonal jail design, 1839-41",Prison de forme octogonale d'une architecture tout &agrave; fait particuli&egrave;re (1839-1841),43.74979,-81.708101
799,Hydrostone District,District Hydrostone,"Kaye, Isleville, Duffus and Novalea Streets",<Null>,Halifax,Nova Scotia,"Public housing in Garden Suburb style, 1920s",Logements sociaux des ann&eacute;es 1920 dans le style des banlieues-jardins &agrave; l'anglaise,44.662023,-63.599125
334,Igloolik Island Archaeological Sites,Sites arch&eacute;ologiques de l'&icirc;le Igloolik,<Null>,<Null>,Igloolik Island,Nunavut,"One of the most complete archaeological sequences in the Arctic, 2000 BC - 1000 AD",Une des s&eacute;quences arch&eacute;ologiques les plus compl&egrave;tes de l'Arctique de l'an 2000 avant J.-C. &agrave; l'an 1000 apr&egrave;s J.-C.,69.371284,-81.748399
1970,&Icirc;le aux Basques,&Icirc;le aux Basques,<Null>,<Null>,&Icirc;le aux Basques,Quebec,Represents the westernmost and most important concentration of French Basque occupation in the Gulf of St. Lawrence between 1584 and 1637,Rec&egrave;le la plus importante concentration de sites d'occupation basques fran&ccedil;ais dans le golfe du Saint-Laurent pour la p&eacute;riode 1584 &agrave; 1637,48.142163,-69.249734
718,&Icirc;le d'Orl&eacute;ans Seigneury,Seigneurie de l'&icirc;le d'Orl&eacute;ans,1451 Royal Avenue,Mauvide-Genest Manor NHSC,Saint-Jean-d'Orl&eacute;ans,Quebec,Surviving resources associated with the seigneurial system,Ressources et vestiges associ&eacute;s au r&eacute;gime seigneurial,46.914143,-70.902638
675,&Icirc;le Perrot Windmill and Miller's House,Moulin &agrave; vent et la maison du meunier de l'&Icirc;le Perrot,2500 Don-Quichotte Boulevard,Pointe-au-moulin,Notre-Dame-de-l'&Icirc;le-Perrot,Quebec,Rare 18th-century industrial / residential grouping,Ensemble maison et b&acirc;timent industriel datant du XVIIIe si&egrave;cle; cas rare,45.366026,-73.85243
754,&Icirc;le-&agrave;-la-Crosse,&Icirc;le &agrave; la Crosse,corner of La Jeunesse Ave. and Peter Cres.,Mounted on monument near corner of La Jeunesse Ave. and Peter Cres.,&Icirc;le-&agrave;-la-Crosse,Saskatchewan,"Fur trade site, Hudson's Bay Company","Carrefour de la traite des fourrures, Compagnie de la Baie d'Hudson",55.437167,-107.898644
628,&Icirc;le-Verte Lighthouse,Phare de l'&icirc;le-Verte,St-Laurence River,Saint Lawrence River,&Icirc;le-Verte,Quebec,"Tower built in 1809 , first light on St. Lawrence","Tour &eacute;lev&eacute;e en 1809, premier phare construit sur le fleuve Saint-Laurent",48.0511,-69.4242
200,Imperial / Bi-Capitol Theatre,Th&eacute;&acirc;tre Imp&eacute;rial / Bi-Capitol,24 King Square South,<Null>,Saint John,New Brunswick,"Grand playhouse / vaudeville theatre, 1912-23",Grand th&eacute;&acirc;tre qui servait &agrave; la fois de salle de spectacles et de th&eacute;&acirc;tre des vari&eacute;t&eacute;s (1912-1923),45.272987,-66.057677
239,Indian Point,Indian Point,<Null>,<Null>,Red Indian Lake,Newfoundland and Labrador,Well documented Beothuk site,Site b&eacute;othuk bien &eacute;tudi&eacute;,48.796111,-56.575556
870,Inglis Grain Elevators,&Eacute;l&eacute;vateurs &agrave; Grains d'Inglis,<Null>,<Null>,Inglis,Manitoba,"Rare row of standard plan country grain elevators typical of ""Golden Age"" from 1920s to 1940s","Rare rang&eacute;e d'&eacute;l&eacute;vateurs &agrave; grains standard, typiques de &laquo;l'&acirc;ge d'or&raquo; de 1920 &agrave; 1940",50.944086,-101.249236
327,Inuksuk,Inuksuk,<Null>,<Null>,Enukso Point,Nunavut,Inuit complex of 100 stone landmarks,Lieu inuit r&eacute;unissant une centaine de tas de pierres (inuksuit),64.573391,-78.187272
370,Inverarden House,Maison Inverarden,Just east of 3330 Montreal Rd.,Mounted on rock on north side of Montreal Rd. (Hwy. 2) just east of entrance to Inverarden House NHS,Cornwall,Ontario,"Important 1816 Regency cottage; built for retired fur trader John McDonald of Garth, an aggressive and successful North West Company wintering partner","Important cottage de style R&eacute;gency construit en 1816; fut &eacute;rig&eacute;e pour John McDonald of Garth, ex-bourgeois prosp&egrave;re et dynamique de la Companie du Nord-Ouest",45.031266,-74.671016
858,Jardins de M&eacute;tis,Jardins de M&eacute;tis,200 Highway 132,monument at the very back of Jardins de M&eacute;tis,Grand-M&eacute;tis,Quebec,Example of an English inspired garden,Exemple des jardins d'inspiration anglaise,48.630748,-68.129852
31,Jasper House,Jasper House,"Highway 16, Roadside pullout 31 km east of Jasper",on a large boulder,Jasper National Park of Canada,Alberta,"Archaeological remains of 1829 fur trade post, Hudson's Bay Company",Vestiges arch&eacute;ologiques d'un poste de commerce des fourrures &eacute;tabli en 1829; la Compagnie de la Baie d'Hudson,53.145883,-117.977228
30,Jasper Park Information Centre,Centre d'Accueil du Parc-Jasper,810 Connaught Drive,<Null>,Jasper National Park of Canada,Alberta,"Picturesque fieldstone park building of Rustic design, 1913-14",Pittoresque &eacute;difice en pierres des champs appartenant au genre rustique (1913-1914),52.877293,-118.080772
579,"Jean-Pierre Roma at Three Rivers, P. E. I.","Jean-Pierre Roma &agrave; Trois-Rivi&egrave;res, (I. P. &Eacute;.)",<Null>,<Null>,Brudenell Point,Prince Edward Island,"Acadian fishing and trade post, 1732-45",Emplacement d'un centre de p&ecirc;che et d'un poste de traite acadiens (1732-1745),46.181643,-62.558462
614,Joffre Roundhouse (Canadian National),Rotonde Joffre (Canadien National),2250 de la Rotonde Avenue,<Null>,Charny,Quebec,"Only extant full-circle type in Canada, built 1880",Construite en 1880; seule rotonde enti&egrave;rement ciculaire &agrave; exister encore au Canada,46.707134,-71.272219
470,John R. Booth Residence,R&eacute;sidence de John R. Booth,252 Metcalfe Street,<Null>,Ottawa,Ontario,"Outstanding Queen Anne Revival style residence, 1909",Remarquable maison de style n&eacute;o-Queen Anne construite en 1909,45.416432,-75.692227
552,John Street Roundhouse (Canadian Pacific),Rotonde de la rue John (Canadien Pacifique),255 Bremner Boulevard,<Null>,Toronto,Ontario,Large 1929 roundhouse for trains using Union Station,Vaste rotonde construite en 1929; pour les trains desservant la gare Union,43.641065,-79.385918
388,John Weir Foote Armoury,Man&egrave;ge militaire de John Weir Foote,200 James Street North,<Null>,Hamilton,Ontario,"Major urban drill hall, built 1887-88 and 1908","Grand man&egrave;ge militaire urbain, construit en 1887-1888; ajout datant de 1908",43.261618,-79.866135
629,Joliette Court House,Palais de justice de Joliette,450 St. Louis Street,<Null>,Joliette,Quebec,Mid 19th-century standard-plan court house,"Palais de justice construit selon un plan type, milieu du XIXe si&egrave;cle",46.026293,-73.442297
2030,Joly de Lotbini&egrave;re Estate,Domaine Joly de Lotbini&egrave;re,<Null>,<Null>,Sainte-Croix,Quebec,Remarkable example of a summer retreat inspired by the Picturesque movement; cultural landscape,Un remarquable exemple de lieu de vill&eacute;giature d'inspiration pittoresque; paysage culturel,46.666783,-71.849083
293,Jonathan McCully House,Maison Jonathan McCully,2507 Brunswick Street,<Null>,Halifax,Nova Scotia,"Italianate urban residence of politician and Father of Confederation, Jonathan McCully","Maison de ville &agrave; l'italienne, r&eacute;sidence de l'homme politique et p&egrave;re de la Conf&eacute;d&eacute;ration Jonathan McCully",44.657364,-63.587806
1888,Joseph Schneider Haus,Maison Joseph-Schneider,466 Queen Street South,0n grounds beside creek,Kitchener,Ontario,"Associated with migration of Pennsylvania-German Mennonites from Lancaster County, Pennsylvania, 1816","Associ&eacute;e &agrave; l'immigration de Mennonites allemands provenant du comt&eacute; de Lancaster, en Pennsylvanie (1816)",43.445083,-80.494978
59,Kaslo Municipal Hall,H&ocirc;tel de ville de Kaslo,36 4th Street,<Null>,Kaslo,British Columbia,"Oldest municipal hall on British Columbia mainland, 1898",Le plus ancien h&ocirc;tel de ville de la partie continentale de la Colombie-Britannique (1898),49.910724,-116.904735
379,Kay-Nah-Chi-Wah-Nung,Kay-Nah-Chi-Wah-Nung,Shaw Road,outside Kay-Nah-Chi-Wah-Nung Historical Centre,Stratton,Ontario,"Religious and ceremonial site for 2,000 years; Rainy River Mounds",Lieu cultuel et c&eacute;r&eacute;moniel en usage pendant 2000 ans; monticules de Rainy River,48.646933,-94.094017
842,Kejimkujik,Kejimkujik,<Null>,on a large stone-like panel,Kejimkujik National Park of Canada,Nova Scotia,Important Mi'kmaq cultural landscape,Important paysage culturel mi'kmaq,44.438558,-65.206551
335,Kekerten Island Whaling Station,Poste de p&ecirc;che &agrave; la baleine de l'&icirc;le Kekerten,<Null>,<Null>,Kekerten Island,Nunavut,One of the most important and long lasting Aboriginal and European whaling stations and vessel-wintering sites in Cumberland Sound,Compte parmi les postes autochtones et europ&eacute;ennes de p&ecirc;che &agrave; la baleine et les hivernages les plus importants qu'ait abrit&eacute;s la baie Cumberland,65.677693,-65.754201
2131,Kensington Market,March&eacute; Kensington,"Dundas West, Bellevue, Spadina, College Streets",north side of Bellevue Square near Augusta Avenue,Toronto,Ontario,Microcosm of Canada's ethnic mosaic,Microcosme de la mosa&iuml;que ethnique du Canada,43.654241,-79.401133
591,Kensington Railway Station (Prince Edward Island),Gare du Prince Edward Island Railway &agrave; Kensington,13 Commercial Street,<Null>,Kensington,Prince Edward Island,Picturesque cobblestone 1904 railway station,Gare en pierres des champs construite en 1904; architecture Pittoresque,46.437894,-63.638829
762,Keyhole Castle,Keyhole Castle,1925 1st Avenue East,"At corner of 1st ave E and 20 St E, near Keyhole Castle NHS",Prince Albert,Saskatchewan,Expression of Queen Anne Revival style,&Eacute;difice qui est une expression du style n&eacute;o-Queen Anne,53.194989,-105.751598
112,Kicking Horse Pass,Col Kicking Horse,Highway 1 - Trans-Canada Highway,"on a large boulder, Spiral Tunnels Lookout",Yoho National Park of Canada,British Columbia,"Traversed by Palliser expedition, 1857-60; adopted by Canadian Pacific Railway as their new route through the Rockies, 1881","Franchi par l'exp&eacute;dition Palliser (1857-1860); le Canadien Pacifique l'adopta pour sa route &agrave; travers les Rocheuses, 1881",51.4312,-116.40386
1891,Kiix?in Village and Fortress,Village et forteresse de Kiix?in,<Null>,<Null>,Pacific Rim National Park Reserve of Canada,British Columbia,Archaeological sites of First Nations village and fortress with significant architectural remains,Sites arch&eacute;ologiques du village et de la forteresse autochtone comportant des vestiges architecturaux importants,48.813394,-125.176353
324,King's College,King's College,1 College Street,in Chapel on King's College grounds,Windsor,Nova Scotia,"Anglican college, 1789-1923","Emplacement d'un coll&egrave;ge anglican, 1789-1923",44.983898,-64.135984
403,Kingston City Hall,H&ocirc;tel de ville de Kingston,216 Ontario Street,<Null>,Kingston,Ontario,Landmark Neoclassical civic building on waterfront,C&eacute;l&egrave;bre &eacute;difice public de style n&eacute;o-classique qui s'&eacute;l&egrave;ve &agrave; proximit&eacute; du bord de l'eau,44.22998,-76.480423
404,Kingston Customs House,&Eacute;difice de la douane de Kingston,294 King Street East,<Null>,Kingston,Ontario,"Elegant Italianate customs house, 1856-59","&Eacute;l&eacute;gant &eacute;difice des douanes, sp&eacute;cimen du style &agrave; l'italienne, construit en (1856-1859)",44.229574,-76.48207
405,Kingston Dry Dock,Cale s&egrave;che de Kingston,55 Ontario Street,<Null>,Kingston,Ontario,"Important port and ship building centre on the Great Lakes, built in 1890; World War II corvettes made here","Un des plus grands centres maritimes dt chantiers navals des Grands Lacs, (1890); Corvettes ayant servi pendant la Seconde Guerre mondiale",44.224854,-76.482991
1763,Kingston Fortifications,Fortifications de Kingston,211 Ontario Street,Confederation Park opposite City Hall,Kingston,Ontario,Protection for the Royal Naval Dockyard and the entrance to the Rideau Canal; War of 1812,Prot&eacute;geaient le chantier naval royal pendant la guerre de 1812; entr&eacute;e du canal Rideau,44.230971,-76.459676
872,Kingston General Hospital,H&ocirc;pital g&eacute;n&eacute;ral de Kingston,76 Stuart Street,<Null>,Kingston,Ontario,Oldest public hospital in operation in Canada,Le plus vieil h&ocirc;pital g&eacute;n&eacute;ral encore en service au Canada,44.224517,-76.492817
407,Kingston Navy Yard,Chantier naval de Kingston,Royal Military College,On a stand in front of Old Stone Frigate building on grounds of Royal Military College,Kingston,Ontario,"Centre of British naval power on Lake Ontario, first for the Provincial Marine on Lake Ontario 1789-1813; administered by the Admiralty till its closure in 1853; War of 1812",Une station navale qui a d'abord servi &agrave; la Marine provinciale sur le lac Ontario de 1789 &agrave; 1813; a ensuite &eacute;t&eacute; plac&eacute;e sous l'autorit&eacute; de l'Amiraut&eacute; jusqu'&agrave; sa fermeture en 1853,44.229567,-76.46665
408,Kingston Penitentiary,P&eacute;nitencier de Kingston,440 King Street West,<Null>,Kingston,Ontario,"Oldest penitentiary in Canada, begun in 1834",Le plus vieil &eacute;tablissement p&eacute;nitentiaire au Canada; mis en chantier en 1834,44.219712,-76.513607
61,Kitselas Canyon,Canyon Kitselas,<Null>,<Null>,Kitselas,British Columbia,Remains of 2 aboriginal villages and petroglyphs,Vestiges de deux villages autochtones et p&eacute;troglyphes,54.607292,-128.426964
336,Kittigazuit Archaeological Sites,Sites arch&eacute;ologiques de Kittigazuit,<Null>,<Null>,Kittigazuit,Northwest Territories,"Beluga hunting, Kittegaryumiut and Mackenzie Delta; largest seasonal gathering of Inuit known in the Canadian Arctic","P&ecirc;che au b&eacute;luga, bande des Kittegaryumiut, dans le delta du Mackenzie; plus grand lieu de rassemblement saisonnier des Inuits dont on connaisse l'existence dans l'Arctique canadien",69.344159,-133.706953
64,Kitwankul,Kitwankul,<Null>,<Null>,Gitanyow,British Columbia,Typical Gitksan village important for its surviving monumental art and as a ceremonial centre shared by peoples of the Nass and Skeena Rivers,Village typique des Gitksans o&ugrave; l'on exerce encore un art monumental et qui est un centre c&eacute;r&eacute;moniel partag&eacute; par les habitants des r&eacute;gions des rivi&egrave;res Nass et Skeena,55.263571,-128.061983
2017,Knaut-Rhuland House,Maison Knaut Rhuland,123 Pelham Street,<Null>,Lunenburg,Nova Scotia,"Example of British classicism applied to a residence by virtue of its precise, harmonious design and rich detail",Sp&eacute;cimen du classicisme britannique parmi les mieux pr&eacute;serv&eacute;s en raison de la pr&eacute;cision et de l'harmonie des lignes architecturales et de la richesse des d&eacute;tails,44.376838,-64.309207
337,Kodlunarn Island,&Icirc;le Kodlunarn,<Null>,<Null>,"Kodlunarn Island, Frobisher Bay",Nunavut,"Martin Frobisher habitation and iron smelting, 1576-1578",Maison de Martin Frobisher et fonderie (1576-1578),62.818056,-65.429729
57,Kootenae House,Kootenae House,Westside Road,2km north,Invermere,British Columbia,"North West Company post, 1807-12; first trading post in the Columbia Basin",Emplacement d'un poste de la compagnie du nord-ouest (1807-1812); ce poste de traite a &eacute;t&eacute; le premier &agrave; voir le jour dans le bassin du Columbia,50.526683,-116.045392
2083,L.M. Montgomery's Cavendish,Cavendish de L.M. Montgomery,Route 6,"on brick cairn, Cavendish",Prince Edward Island National Park of Canada,Prince Edward Island,Intimately associated with Lucy Maud Montgomery's formative years and early productive career,&Eacute;troitement associ&eacute; aux ann&eacute;es de formation de Lucy Maud Montgomery et &agrave; ses d&eacute;buts dans la carri&egrave;re d'&eacute;crivain,46.489296,-63.377296
2063,La Corne Nursing Station,Dispensaire de La Corne,339 Route 111,<Null>,La Corne,Quebec,"Best extant example of the network of dispensary-residences established by the ""Service medical aux colons""",Exemple le plus repr&eacute;sentatif du r&eacute;seau de dispensaires - r&eacute;sidences institu&eacute; par le Service m&eacute;dical aux colons,48.357332,-77.995773
2329,La Fabrique,La Fabrique,"255-295, boulevard Charest Est",<Null>,Qu&eacute;bec,Quebec,"Representative of the resilience and flexibility of Victorian and early 20th-century industrial buildings, many of which evolved over time to changing requirements","Repr&eacute;sente bien la capacit&eacute; d'adaptation des b&acirc;timents industriels de la p&eacute;riode victorienne et du d&eacute;but du xxe si&egrave;cle; en effet, bon nombre d'entre eux ont subi des transformations avec le temps",46.812567,-71.226087
2162,La Malbaie Historic District,Arrondissement historique de La Malbaie,181 Richelieu Street,Manoir Richelieu,La Malbaie - Pointe-au-Pic,Quebec,"One of the oldest ""vill&eacute;giature"" areas in Canada","Un des plus anciens lieux de ""vill&eacute;giature"" au Canada",47.620551,-70.145517
2062,Lac Ste. Anne Pilgrimage,P&egrave;lerinage du lac Ste. Anne,<Null>,<Null>,Lac Ste. Anne,Alberta,"Important place of social, cultural and spiritual rejuvenation, important aspects of the traditional summer gathering","Important lieu de r&eacute;g&eacute;n&eacute;ration sociale, culturelle et spirituelle, trois dimensions importantes du rassemblement estival traditionnel",53.689497,-114.43309
636,Lachine Canal,Canal de Lachine,711 Saint Joseph Boulevard,"On Monk Island, facing the reception centre, Lachine",Montr&eacute;al,Quebec,"Operational canal; five locks, railway / road bridges",Canal ouvert &agrave; la navigation; comportait 5 &eacute;cluses ainsi que des ponts ferroviaires et routiers,45.431028,-73.670554
1784,Lachine Canal Manufacturing Complex,Complexe manufacturier du canal de Lachine,<Null>,<Null>,Montr&eacute;al,Quebec,"Manufacturing/industrial complex, especially from 1880 to 1940; 41 establishments-12 production groups","Complexe manufacturier/industriel, principalement de 1880 &agrave; 1940; 41 &eacute;tablissements - 12 groupes manufacturiers",45.486319,-73.562754
1848,Ladies' Seminary,Ladies' Seminary,<Null>,Acadia University,Wolfville,Nova Scotia,Represents the earliest phase of Women's higher education; 1878,Illustre la premi&egrave;re phase de l'&eacute;ducation sup&eacute;rieure des femmes; 1878,45.088801,-64.366095
468,Langevin Block,&Eacute;difice Langevin,50-80 Wellington Street,<Null>,Ottawa,Ontario,"Fine Second Empire building for expanding federal government, 1883-89",Bel &eacute;difice de style Second Empire construit pour r&eacute;pondre aux besoins accrus du gouvernement f&eacute;d&eacute;deral (1883-1889),45.42354,-75.697151
425,Lansdowne Iron Works,Forges de Lansdowne,County Rd. 33 - 50 m west of Lyndhurst Bridge at Cook Street,<Null>,Lyndhurst,Ontario,"First Ontario iron smelting from local ore, 1801-12",Premi&egrave;re usine en Ontario o&ugrave; &eacute;tait fondu du minerai local (1801-12),44.549303,-76.126102
232,L'Anse Amour,L'Anse Amour,<Null>,"Mounted in a wooden frame, beside road next to burial ground",L'Anse-Amour,Newfoundland and Labrador,"Burial site, Maritime Archaic culture; features the earliest known funeral monument in the New World, created between 6100 and 6600 B.C.","S&eacute;pultures, culture archa&iuml;que des Maritimes; on y trouve le plus ancien monument fun&eacute;raire connu du Nouveau Monde, qui remonte &agrave; une p&eacute;riode situ&eacute;e entre 6100 et 6600 avant J.-C.",51.480395,-56.866316
240,L'Anse aux Meadows,L'Anse aux Meadows,11 km north of Saint-Luniare,Plaque is located in interpretive center,St. Anthony,Newfoundland and Labrador,Only authenticated Viking settlement in North America,Seul &eacute;tablissement Viking pour lequel il existe des preuves arch&eacute;ologiques en Am&eacute;rique du Nord,51.591985,-55.532858
756,Last Mountain Lake Bird Sanctuary,Refuge d'oiseaux de Last Mountain Lake,<Null>,<Null>,Last Mountain Lake,Saskatchewan,"First wildfowl sanctuary in North America, 1887",Premi&egrave;re r&eacute;serve de sauvagine en Am&eacute;rique du Nord (1887),51.35181,-105.239754
2163,Last Post Fund National Field of Honour,Champ d'honneur national du Fonds du Souvenir,703 Donnacona Street,<Null>,Pointe-Claire,Quebec,"Constitutes a place of remembrance dedicated to the men and women who served under the colours, evoking some two hundred years of Canadian military history","Constitue un lieu de m&eacute;moire &eacute;vocateur d&eacute;di&eacute; aux hommes et aux femmes qui ont servi sous les drapeaux, rappelant quelque deux cents ans d'histoire militaire canadienne",45.443217,-73.836295
471,Laurier House,Maison Laurier,335 Laurier Avenue East,<Null>,Ottawa,Ontario,"Second Empire home, built in 1878, of two prime ministers of Canada, Sir Wilfrid Laurier and William Lyon Mackenzie King","Maison de deux premiers ministres du Canada, sir Wilfrid Laurier et William Lyon Mackenzie King, style Second Empire, 1878",45.427759,-75.677976
598,Le Boutillier Manor,Manoir le Boutillier,578 Griffon Boulevard,<Null>,Anse-au-Griffon,Quebec,"Distinctive Bas-St-Laurent style, circa 1818",Exemple de l'architecture distinctive du Bas Saint-Laurent; maison construite vers 1818,48.932226,-64.30152
1809,Leaskdale Manse,Presbyt&egrave;re de Leaskdale,11909 Concession 7,front yard,Leaskdale,Ontario,"Home of Lucy Maud Montgomery from 1911-26, built circa 1886",Demeure de Lucy Maud Montgomery de 1911 &agrave; 1926,44.20325,-79.160633
