NAME,NOM,STREET,PLAQUE LOCATION,TOWN,PROV,REASON FOR DESIGNATION,RAISION DE LA DESIGNATION,LATITUDE (WGS84),LONGITUDE (WGS84)
"Langevin, Sir Hector-Louis","Langevin, sir Hector-Louis",<Null>,<Null>,Québec,Quebec,"Father of Confederation, Minister of Public Works (1869-73, 1879-91)","Père de la Confédération, ministre des Travaux Publics (1869-1873, 1879-1891)",46.816667,-71.216667
"Langford, Sam","Langford, Sam",<Null>,<Null>,Weymouth Falls,Nova Scotia,"Professional boxer, fought 1902 to 1923","Boxeur professionnel, sa carrière s'étendit de 1902 à 1923",44.4,-65.933333
"Lapointe, Ernest","Lapointe, Ernest",<Null>,<Null>,Saint-Éloi,Quebec,"Federal cabinet minister (1921-30, 1935-41)","Membre fédéral (1921-1930, 1935-1941)",48.033333,-69.233333
"Laurier, Sir Wilfrid","Laurier, sir Wilfrid",945 12e avenue,Laurier House Interpretation Centre,Laurentides,Quebec,Prime Minister of Canada (1896-1911),Premier ministre du Canada (1896-1911),45.852433,-73.757395
"Laval, Bishop François de Montmorency","Laval, monseigneur François de Montmorency",<Null>,<Null>,Québec,Quebec,"First Bishop of Québec (1674-88), organized Church in New France","Premier évêque de Québec (1674-1688), il organisa l'Église en Nouvelle-France",46.816667,-71.216667
"Lavallée, Calixa","Lavallée, Calixa",Hamel Street,<Null>,Québec,Quebec,"Wrote the music for ""O Canada"" (1880), first famous Canadian musician","Auteur de la musique «Ô Canada» (1880), premier musicien canadien à parvenir à la célébrité",46.815231,-71.208116
"Lawrence, Sheridan","Lawrence, Sheridan",<Null>,Grounds of the Anglican Cathedral,Peace River,Alberta,"Farmer, entrepreneur, magistrate in the Peace River district","Agriculteur, homme d'affaires, magistrat dans le district de Peace River",56.235223,-117.29562
"Le Moine, Sir James MacPherson","Le Moine, sir James MacPherson",44 Chaussée des Écossais,at Morrin College – Former Quebec Prison NHSC,Québec,Quebec,"Author, historian and ornithologist, Royal Society of Canada","Auteur, historien et ornithologue, Société royale du Canada",46.812791,-71.210568
"Le Moyne d'Iberville, Pierre","Le Moyne d'Iberville, Pierre",404 Saint-Sulpice Street - junction of Saint-Paul,<Null>,Montréal,Quebec,"Famous soldier of New France, raided English posts (1688-97)","Soldat célèbre de la Nouvelle-France, attaqua plusieurs postes anglais (1688-1697)",45.504382,-73.554811
"Le Moyne de Bienville, Jean-Baptiste","Le Moyne de Bienville, Jean-Baptiste",<Null>,<Null>,*    Montréal,Quebec,"Governor of Louisiana, founded Mobile, Alabama (1702) and New Orleans (1718)","Gouverneur de la Louisiane, fondateur de Mobile, en Alabama (1702), et de la Nouvelle-Orléans (1718)",45.508818,-73.554133
"Le Moyne, Charles and his Family","Le Moyne et sa famille, Charles",<Null>,<Null>,Longueuil,Quebec,"Charles Le Moyne (1626-85), fathered dynasty of soldiers and colonizers; flourished 1660-1740","Père d'une dynastie de soldats et de colonisateurs, Charles Le Moyne (1626-1685)",45.537405,-73.510726
"LeVasseur, Dr. Irma","LeVasseur, Dr. Irma",1402 18th Street,Hôpital de l'Enfant-Jésus,*    Québec,Quebec,Female pioneer who managed to rceive a degree in medicine; one of the pioneers of paediatrics in Canada,Ont réussi à obtenir un diplôme en médecine; est considérée comme faisant partie des pionniers de la pédiatrie au Canada,46.836633,-71.224984
"Leacock, Stephen","Leacock, Stephen",50 Museum Drive,Stephen Leacock Museum / Old Brewery Bay NHSC,Orillia,Ontario,"Canada's best known humorist, teacher, historian and writer","Le plus célèbre l'humoriste canadien, professeur, historien et auteur",44.608383,-79.393683
"Lefebvre, Father Camille","Lefebvre, père Camille",<Null>,Monument-Lefebvre,Memramcook,New Brunswick,Founder of the highly successful Acadian Renaissance Movement,Fondateur du mouvement pour la renaissance acadienne,45.97925,-64.567103
"Lemieux, Rodolphe","Lemieux, Rodolphe",<Null>,<Null>,Gaspé,Quebec,"Professor of Law, cabinet minister 1904-11, Speaker of the House of Commons","Professeur de droit, ministre 1904-1911, président de la Chambre des communes",46.816667,-71.216667
"Lennox, Charles (Duke of Richmond)","Lennox, Charles (duc de Richmond)",Richmond Road,5 km north-east of village,Richmond,Ontario,"Governor General of Canada in 1818, died in 1819 near Richmond",Gouverneur général du Canada en 1818,45.233717,-75.809811
"Lismer, Arthur","Lismer, Arthur",317 Dundas Street West,Art Gallery of Ontario,*    Toronto,Ontario,"Painter, educator, founding member of the Group of Seven","Peintre, professeur, membre fondateur du Groupe des Sept",43.654117,-79.392221
"Little, Philip Francis","Little, Philip Francis",<Null>,Colonial Building,*    St. John's,Newfoundland and Labrador,First premier of the colony of Newfoundland under responsible government,Le premier à occuper le poste de premier ministre de la colonie de Terre-Neuve sous un gouvernement responsable,47.570834,-52.706881
"Livingstone, Kathleen 'Kay'","Livingstone, Kathleen 'Kay'",475 Yonge Street,Former Westbury Hotel,*    Toronto,Ontario,Actively engaged in creating a Canada-wide network of Afro-Canadian women; driving force behind the first National Black Women's Congress ( 1973),A consacré son temps et son énergie à la création d'un réseau pancanadien d'Afro-Canadiennes; moteur derrière la tenue du premier Congrès national des femmes noires du Canada (1973),43.662271,-79.383283
"Lloyd, George Exton","Lloyd, George Exton",45th Avenue,"Lot 9, plan B. M. 4510, next to Weaver Park",Lloydminster,Saskatchewan,"Promoter of western Canada, Anglican Bishop of Saskatchewan (1922-31)","Partisan du développement de l'Ouest canadien, évêque de la Saskatchewan (1922-1931)",53.277488,-109.99168
"Locke, George Herbert","Locke, George Herbert",4996 Beam Street (aka Church Street) at Mountain Road,Fleming Branch of the Lincoln Public Library,Beamsville,Ontario,"Chief librarian of the Toronto Public Libraries, author, historian","Bibliothécaire en chef des bibliothèques publiques de Toronto, auteur, historien",43.16455,-79.476033
"Lockhart, Grace Annie","Lockhart, Grace Annie",<Null>,"on a concrete plinth, east side of chapel of Mt. Allison University",Sackville,New Brunswick,Pioneer of women's university education,Pionnière dans le domaine de la formation universitaire des femmes,45.899403,-64.373368
"Logan, Sir William Edmond","Logan, sir William Edmond",<Null>,Logan Memorial Park,Percé,Quebec,First director of the Geological Survey of Canada (1842),Premier directeur de la Commission géologique du Canada (1842),48.5245,-64.209659
"Longboat, Tom","Longboat, Tom",south of 4th Line Road,Six Nations Sports and Cultural Memorial Centre,Six Nations Grand River Reserve / Oshweken,Ontario,"Famous long distance runner, won the 1907 Boston Marathon","Célèbre coureur de fond, remporta le marathon de Boston en 1907",43.069,-80.12365
"Loring, Frances","Loring, Frances",St. Clair Avenue East and Mount Pleasant Road,Loring and Wyle Parkette,*    Toronto,Ontario,One of Canada's leading and most talented sculptors during the peak of her career from 1920 to about 1948,"Figurait au nombre des sculpteurs les plus éminents et les plus talentueux du Canada alors qu'elle se trouvait à l'apogée de sa carrière, de 1920 jusque vers 1948",43.69051,-79.383168
"Lyle, John MacIntosh","Lyle, John MacIntosh",125 Sparks Street,Former Bank of Nova Scotia Building,*    Ottawa,Ontario,One of the principal Canadian architects of his era to have contributed to the spread of the Beaux-Arts style in Canada,Un des principaux architectes canadiens de son époque à avoir contribué à diffuser les principes Beaux-Arts au Canada,45.42181,-75.699764
"Légaré, Jean-Louis","Légaré, Jean-Louis",<Null>,<Null>,Willow Bunch,Saskatchewan,"Trader and pioneer settler in Willow Bunch, Saskatchewan (1880)",Commerçant et colon de l'époque pionnière de Willow Bunch (1880),49.383333,-105.633333
"MacDonald, James E.H.","MacDonald, James E. H.",14 Elm Street,St. George's Hall (Arts and Letters Club)  NHSC,Toronto,Ontario,"Painter, founding member of the Group of Seven, designer and calligrapher","Peintre, membre fondateur du Groupe des Sept, dessinateur et calligraphe",43.657817,-79.38245
"MacEachern, Bishop Angus Bernard","MacEachern, l'évêque Angus Bernard",Veteran's Memorial Highway 2,"St. Andrew's Chapel, Lot 37, Queens County, Plan 56109",St. Andrews,Prince Edward Island,"First Roman Catholic Bishop of Charlottetown (Prince Edward Island, New Brunswick, Magdalen Island - 1829)","Premier évêque catholique romain de Charlottetown (1829), sa juridiction - Île-du-Prince-Édouard, Nouveau-Brunswick et Îles Magdalen)",46.383015,-62.85413
"MacGill, Elizabeth Muriel Gregory ""Elsie""","MacGill, Elizabeth Muriel Gregory «Elsie»",<Null>,Former Canada Car Foundry Company (now Bombardier),*    Thunder Bay,Ontario,Significant contributions to the field of aeronautical engineering and to the recognition and promotion of Canadian women's equality,Une contribution importante au génie aéronautique et pour la reconnaissance et la promotion du droit à l'égalité pour les Canadiennes,48.356941,-89.295457
"MacGill, Helen Gregory","MacGill, Helen Gregory",<Null>,Burrard View Park,Vancouver,British Columbia,Juvenile court judge; internationally acknowledged expert who campaigned for suffrage and law reform,Juge au Tribunal de la jeunesse; réputation internationale pour avoir milité en faveur du droit de vote pour les femmes et de la réforme du droit,49.290767,-123.050967
"MacLeod, Pegi Nicol","MacLeod, Pegi Nicol",<Null>,"Observatory Art Centre, University of New Brunswick",*    Fredericton,New Brunswick,Highly talented painter widely admired by other artists; left a large body of painting in a unique and dynamic modernist style,Peintre de grand talent admirée par nombre de ses pairs;  a laissé derrière elle une oeuvre considérable exécutée dans un style moderne unique et dynamique,45.948025,-66.641046
"MacMechan, Archibald McKellar","Macmechan, Archibald McKellar",787 King Street West,hall of Kitchener-Waterloo Collegiate Institute,Kitchener,Ontario,"Professor of English at Dalhousie University (1889-1933), author, editor","Professeur d'anglais à l'Université Dalhousie (1889-1933), auteur, rédacteur",43.455815,-80.509011
"MacMillan, Harvey Reginald","Macmillan, Harvey Reginald","2424 Main Mall, north of Thunderbird Crescent",University of British Columbia -  Forest Science Centre,Vancouver,British Columbia,"Professional forester, founded lumber company in 1919","Forestier professionnel, créa une entreprise spécialisée dans le commerce du bois en 1919",49.2598,-123.248317
"MacMillan, Sir Ernest","Macmillan, sir Ernest",178 Victoria Street,Massey Hall NHSC,Toronto,Ontario,"Internationally known conductor, musician, composer","Chef d'orchestre, musicien et compositeur de renommée internationale",43.654167,-79.379083
"MacMurchy, Dr. Helen","MacMurchy, docteur Helen",<Null>,<Null>,*    Ottawa,Ontario,Leading advocate of public health reforms in Canada in the late 19th- and 20th-centuries,Championne des réformes dans le domaine de la santé publique au Canada à la fin du XIXe siècle et au XXe siècle,45.408175,-75.733711
"Macallum, Archibald Byron","Macallum, Archibald Byron",399 Ridout Street North,in Middlesex County Court House NHSC,London,Ontario,"Pioneer in scientific medicine, field of cellular microchemistry","Ouvrit la voie en matière de médecine scientifique, domaine de la microchimie cellulaire",42.981951,-81.254333
"Macaulay, Thomas Bassett","Macaulay, Thomas Bassett",<Null>,Sun Life Building,*    Montréal,Quebec,Played a fundamental role in the creation of the modern life insurance industry in Canada,A joué un rôle fondamental dans la création de l'industrie moderne de l'assurance-vie au Canada,45.499827,-73.570624
"Macdonald, Andrew Archibald","Macdonald, Andrew Archibald",165 Richmond Street,north east side of Province House NHSC,Charlottetown,Prince Edward Island,Father of Confederation,Père de la Confédération,46.23525,-63.12585
"Macdonald, Major Margaret Clothilde","Macdonald, major Margaret C.",<Null>,<Null>,Bailey's Brook,Nova Scotia,Matron-in-Chief of the Canadian Nursing Service during World War I,Directrice générale des Services de soins infirmiers canadiens pendant la Première Guerre mondiale,45.666667,-62.266667
"Macdonald, Sir John A.","Macdonald, sir John A.",King Street East,"Statue of Sir John A. MacDonald, City Park",Kingston,Ontario,"Father of Confederation, Prime Minister of Canada (1867-73, 1878-91)","Père de la Confédération, premier ministre du Canada (1867-1873, 1878-1891)",44.225017,-76.486867
"Macdonald, Sir John A.","Macdonald, Sir John A.",110 Rideau Street,<Null>,Kingston,Ontario,"Father of Confederation, Prime Minister of Canada (1867-73, 1878-91)","Père de la Confédération, premier ministre du Canada (1867-1873, 1878-1891)",44.2365,-76.482567
"Macdonald, Sir John A.","Macdonald, sir John A.",Highway 2,<Null>,Saint-Patrick,Quebec,"Father of Confederation, Prime Minister of Canada (1867-73, 1878-91)","Père de la Confédération, premier ministre du Canada (1867-1873, 1878-1891)",46.356827,-72.539804
"Macdonald, Sir John A.","Macdonald, Sir John A.",<Null>,Adolphustown Park,Adolphustown,Ontario,"Father of Confederation, Prime Minister of Canada (1867-73, 1878-91)","Père de la Confédération, premier ministre du Canada (1867-1873, 1878-1891)",44.101217,-77.022033
"Macdonald, Sir William Christopher","Macdonald, sir William Christopher",<Null>,<Null>,*    Sainte-Anne-de-Bellevue,Quebec,"Manufacturer, philanthropist, founder of the Macdonald Tobacco Company","Manufacturier, philanthrope, fondateur de la compagnie Macdonald Tobacco",45.413124,-73.959031
"Macdonell, Bishop Alexander","Macdonell, l'évêque Alexander",<Null>,Ruin of St. Raphael's Roman Catholic Church,St. Raphaels,Ontario,First Roman Catholic Bishop in Upper Canada (1826),Premier évêque catholique romain du Haut-Canada (1826),45.212067,-74.597317
"Mackenzie, Hon. Alexander","Mackenzie, l'honorable Alexander",Front St.,Alexander MacKenzie Park,Sarnia,Ontario,Prime Minister of Canada (1873-78),Premier ministre du Canada (1873-1878),42.9751,-82.40845
"Mackenzie, Sir William","Mackenzie, sir William",1011 Portage Road/ Highway 48,Sir William Mackenzie House,Kirkfield,Ontario,"Railway entrepreneur, built the Canadian Northern Railway (1915)","Entrepreneur en transport ferroviaire, construisit le Canadian Northern Railway (1915)",44.562867,-78.98245
"Mackenzie, William Lyon","Mackenzie, William Lyon",82 Bond St.,Mounted on post beside building,Toronto,Ontario,"Leader of 1837 Rebellion in Upper Canada, legislator (1850-58)","Chef de la Rébellion de 1837 dans le Haut-Canada, législateur (1850-1858)",43.655767,-79.378267
"Macnab, Sir Allan Napier","Macnab, sir Allan Napier",1000a York Street,Dundurn Castle NHSC,Hamilton,Ontario,"Jurist and legislator, Premier of Province of Canada (1854-56)","Homme de loi et législateur, premier ministre de la province du Canada (1854-1856)",43.269219,-79.884859
"Macoun, John","Macoun, John",240 McLeod Street,Victoria Memorial Museum,*    Ottawa,Ontario,"First to survey, document and categorize the flora of the country in a systematic manner; leading figure in support of federal plans to populate and develop Canada's West","Le premier à avoir étudié, documenté et classifié la flore selon une méthode systématique; une figure de proue du projet du gouvernement fédéral de peupler et de développer l'Ouest canadien",45.412706,-75.688616
"Macphail, Agnes Campbell","Macphail, Agnes Campbell",<Null>,<Null>,*    Ceylon,Ontario,First woman elected to the House of Commons (1921),Première femme élue à la Chambre des communes (1921),44.2431,-80.5722
"Macphail, Sir Andrew","Macphail, sir Andrew",269 MacPhail Park Road,"1955/inside Prince of Wales College, Charlottetown / 1995 MacPhail Homestead, Orwell",Orwell,Prince Edward Island,"Physician, essayist, founder and editor of ""The University Magazine""","Médecin, essayiste, fondateur et rédacteur en chef de «The University Magazine»",46.162067,-62.822628
"Magrath, Charles Alexander","Magrath, Charles Alexander",910 4th ave S,Outside wall at the South entrance of City Hall,Lethbridge,Alberta,"Engineer and surveyor, first mayor of Lethbridge","Ingénieur et arpenteur-géomètre, premier maire de Lethbridge",49.69408,-112.832857
"Mair, Charles","Mair, Charles",73 George Street,1948 in auditorium of Lanark Town Hall / 1984 Lanark Post Office,Lanark,Ontario,"Journalist, poet, advocate of western expansion","Journaliste, poète, partisan de l'expansion vers l'Ouest",45.017504,-76.364433
"Mance, Jeanne","Mance, Jeanne",Saint Sulpice et le Royer West Streets,In planting bed next to alley walkway,Montréal,Quebec,"Founder of ""l'Hôtel-Dieu de Montréal"", Canada's first lay nurse renowned for her care under extreme conditions","Fondatrice de l'Hôtel-Dieu de Montréal, première infirmière laïque du Canada reconnue pour avoir œuvré dans des conditions extrêmement difficiles",45.50445,-73.555102
Maquinna (Mokwina),Maquinna (Mokwina),<Null>,<Null>,"Yuquot, Nootka Island",British Columbia,"Chiefs of Moachat Confederacy in British Columbia  (1778-1825), hereditary title","Chefs de la confédération Moachat en Colombie-Britannique (1778-1825), succession héréditaire",49.590444,-126.615031
"Marega, Charles","Marega, Charles",<Null>,<Null>,*    Vancouver,British Columbia,Highly skilled artist who produced a number of outstanding monuments in British Columbia and sculpture for some of the most significant works of architecture and engineering of the 1920's and 1930's,"Artiste de grand talent, il a réalisé plusieurs monuments remarquables dans Colombie-Britannique ainsi que des sculptures pour quelques-uns des plus grands ouvrages d'architecture et de genie",49.261775,-123.113532
"Marie-Victorin, Brother","Marie-Victorin, frère",4101 Sherbrooke St. E. (corner of Pie IX St.),Main entrance to Montréal Botanical Garden NHSC,Montréal,Quebec,"Botanist, author, educator, ""Flore Laurentienne"" (1935)","Botaniste, auteur, professeur, «Flore Laurentienne» (1935)",45.556379,-73.555995
"Marquette, Jacques","Marquette, Jacques",intersection of Marie-Victorin and De Montbrun,<Null>,Boucherville,Quebec,"Priest, with Louis Jolliet, explored the Mississippi River (1673)","Prêtre, explora le Mississipi avec Louis Jolliet (1673)",45.61342,-73.456591
"Mascarene, Jean-Paul","Mascarene, Jean-Paul",St. George Street,Fort Anne NHSC,Annapolis Royal,Nova Scotia,"Governor of Nova Scotia (1744), held Annapolis Royal against French (1744-46)","Gouverneur de la Nouvelle-Écosse (1744), repoussa les attaques des Français contre Annapolis Royal (1744-1746)",44.740807,-65.519409
"Mason, James 'Skookum' Jim (Kèsh)","Mason, James «Skookum» Jim (Kèsh)",<Null>,Koolseen Heritage Centre (White Pass Warehouse) - behind the Carcross Visitor Information Centre,Carcross,Yukon Territory,Discoverer of first major Yukon gold fields,Personne associée à la découverte du premier champ aurifère important du Yukon,60.166768,-134.701426
"Massey, Charles Vincent","Massey, Charles Vincent",Hart House Circle,"Hart House, U. of Toronto, mounted on stone monument",Toronto,Ontario,First Canadian-born Governor General of Canada (1952-59),Premier gouverneur général né au Canada (1952-1959),43.663664,-79.393902
"Massey, Hart Almerrin","Massey, Hart Almerrin",8560 Tremaine Road,Country Heritage Park (Former Ontario Agricultural Museum),*    Milton,Ontario,Founder of Massey-Harris Company and Massey Hall in Toronto,Fondateur de la compagnie Massey-Harris et concepteur du Massey Hall de Toronto,43.518826,-79.932988
Matonabbee,Matonabbee,<Null>,Prince of Wales Fort NHSC,Churchill,Manitoba,"Dene (Chipweyan) chief, guided Samuel Hearne overland to the Coppermine River","Chef Déné (Chipweyan), guida Samuel Hearne lors de son voyage qui le conduisit jusqu' à la rivière Coppermine",58.795615,-94.214576
"May, Wilfrid Reid 'Wop'","May, Wilfrid Reid 'Wop'",11410 Kingsway Avenue NW,Alberta Aviation Museum,Edmonton,Alberta,"Pioneer of bush flying in Canada, awarded the Order of the British Empire (1935)","Pionnier de l'aviation de brousse au Canada, titulaire de l'Ordre de l'Empire britannique (1935)",53.564884,-113.517352
"McArthur, Peter","McArthur, Peter",<Null>,"roadside park on Highway No. 2, 1 mile west of Appin sideroad No. 16",Appin,Ontario,"Journalist, essayist, poet and farmer, writer of ""In Pastures Green"" (1915)","Journaliste, essayiste, poète et agriculteur, auteur de «In Pastures Green» (1915)",42.743683,-81.642817
"McBride, Sir Richard","McBride, sir Richard",331 Richmond,McBride Public School,New Westminster,British Columbia,"Premier of British Columbia (1903-15), Agent General of British Columbia (1915-17)","Premier ministre de la Colombie-Britannique (1903-1915), agent-général de la Colombie-Britannique (1915-1917)",49.226661,-122.899128
"McClung, Nellie Mooney","McClung, Nellie Mooney","West side of Hwy 6, 1 km south of Hwy 40","Lot 9, concession 1, Sullivan Twp. on west side of Hwy 6",Chatsworth,Ontario,"Writer, social reformer, first woman member of Canadian Broadcasting Company Board (1936-42)","Auteure, réformatrice sociale, première femme du Conseil d'administration de Radio-Canada (1936-1942)",44.43225,-80.89565
"McConachie, George William ""Grant""","McConachie, George William «Grant»",11410 Kingsway Avenue,"Hangar 14, Alberta Aviation Museum",*    Edmonton,Alberta,Pioneer of passenger and airmail service in northwestern Canada,Pionnier du service aérien de courrier et du transport de passagers dans le Nord-Ouest canadien,53.565239,-113.517821
"McCord, David Ross","McCord, David Ross",690 Sherbrooke St. West,"McCord Museum of Canadian History, McGill Union Building",Montréal,Quebec,Created one of the earliest and most important collections of artifacts associated with the human history of Canada,A créé l'une des premières et des plus importantes collections d'objets façonnés reliés à l'histoire humaine du Canada,45.504424,-73.573543
"McCrae, Lieutenant-Colonel John","McCrae, lieutenant-colonel John",108 Water Street,on the McCrae House NHSC,Guelph,Ontario,"Canadian army physician, wrote ""In Flanders Fields"", World War I","Médecin de l'armée canadienne, auteur de «In Flanders Fields»",43.536152,-80.244733
"McCulloch, Reverend Thomas","Mcculloch, révérend Thomas",<Null>,<Null>,Pictou,Nova Scotia,"Founder of the Pictou Academy (1816-38), first principal of Dalhousie College","Fondateur de l'académie de Pictou (1816-1838), premier directeur du Dalhousie College",45.679332,-62.720603
"McCully, Jonathan","McCully, Jonathan",Victoria Street East,in Dominion Public Building,Amherst,Nova Scotia,Father of Confederation,Père de la Confédération,45.834264,-64.212547
"McCurdy, John A. D.","McCurdy, John A. D.",<Null>,Alexander Graham Bell NHSC,Baddeck,Nova Scotia,"First person to fly an airplane in the British Empire (Silver Dart, 1909)","Effectua le premier vol contrôlé de l'Empire britannique (Silver Dart, 1909)",46.103406,-60.744966
"McDougall, Reverend George Millward","McDougall, révérend George Millward",Highway 855 - North side of North Saskatchewan River,Fort Victoria Settlement Provincial Historic Site,Fort Victoria,Alberta,"Methodist missionary in the Northwest Territories (1860-76) , signing of Treaty Nº 6","Missionnaire méthodiste dans les Territories du Nord-Ouest (1860-1876), cosignataire du traité nº 6",53.999181,-112.477753
"McDougall, William","McDougall, William",<Null>,<Null>,*    Ottawa,Ontario,"Father of Confederation, leading Liberal politician","Père de la Confédération, leader politique libéral",45.445343,-75.668814
"McGee, Thomas D'Arcy","McGee, Thomas D'Arcy","Sparks Street Mall, between O'Connor and Metcalfe",Beside Speaker's Corner,Ottawa,Ontario,"Journalist, poet, Irish patriot, Father of Confederation","Journaliste, poète, patriote Irlandais, père de la Confédération",45.422417,-75.699066
"McKay, Donald","McKay, Donald",<Null>,<Null>,Jordan Falls,Nova Scotia,"World renowned designer and builder of clipper ships ""Flying Cloud""",Concepteur et constructeur de clippers de renommée mondiale - «Flying Cloud»,43.816667,-65.233333
"McKinney, Louise","McKinney, Louise",50 Ave W. and 2nd St. W.,On the wall of left front entrance Post Office,Claresholm,Alberta,First woman member of the Legislative Assembly in the British Empire (1917),Première femme élue députée dans l'Empire britannique (1917),50.025838,-113.584013
"McLaughlin, Robert Samuel","Mclaughlin, Robert Samuel",270 Simcoe Street North at Adelaide,astride driveway to right of mansion entrance,Oshawa,Ontario,"Industrialist, carriage-works in Oshawa became General Motors of Canada, 1918","Industriel, créa à Oshawa l'entreprise Carriage-Works, qui devint General Motors du Canada (1918)",43.904833,-78.867617
"McLoughlin, Dr. John","McLoughlin, docteur John",65 Hôtel-de-Ville Street,In front of city hall on stone plinth,Rivière-du-Loup,Quebec,"Chief factor in the Hudson's Bay Company (1821-46), known as ""Father of Oregon""","Agent principal de la Compagnie de la Baie d'Hudson (1821-46), connu sous le nom «père de l'Orégon»",47.835999,-69.536805
"McLuhan, Marshall","McLuhan, Marshall",96 St. Joseph Street,Sullivan House,Toronto,Ontario,"Pioneer of media analysis, he provided the world with new insights and tools to help make sense of the electronic age","Pionnier de l'analyse des médias, il a offert au monde de nouvelles perceptions et de nouveaux outils pour mieux comprendre l'ère de l'électronique",43.665283,-79.3899
"McMaster, William","McMaster, William",<Null>,McMaster University,*    Hamilton,Ontario,"Businessman, philanthropist, established Canadian Bank of Commerce (1867); pioneer of Toronto's challenge to Montréal as the financial capital of Canada","Homme d'affaires, philanthrope, fondateur de la Banque canadienne de commerce (1867)",43.250015,-79.845698
"McNaughton, Violet Clara","McNaughton, Violet Clara",446 - 2nd Avenue North,Wheat Producer Building,Saskatoon,Saskatchewan,Organized the Women Grain Growers; instigated public funded medical care programs,A regroupé les productrices de céréales en plus d'être l'instigatrice de régimes publics de soins de santé,52.13486,-106.660656
"McPhail, Alexander James","McPhail, Alexander James",2625 Victoria Avenue,Saskatchewan Wheat Pool Building,Regina,Saskatchewan,"Agricultural reformer, organizer, Canadian Wheat Pool president (1924)","Artisan d'une réforme agraire, organisateur, président du Canadian Wheat Pool (1924)",50.447054,-104.61891
"Mckenzie, Robert Tait","McKenzie, Robert Tait",2854 Ramsey Concession 8,Mill of Kintail Conservation Area,Almonte,Ontario,"Surgeon, educator and sculptor, pioneer in physical education, rehabilitation","Médecin, professeur et sculpteur, pionnier dans l'éducation physique et de la réadaptation",45.246375,-76.252893
"Meighen, Rt. Hon. Arthur","Meighen, le très honorable Arthur",Brandon Street near Massey Crescent,Island Municipal Park,Portage la Prairie,Manitoba,"Prime Minister of Canada (1920-21, 1926)","Premier ministre du Canada (1920-1921, 1926)",49.962533,-98.28955
"Meilleur, Dr. Jean-Baptiste","Meilleur, Jean-Baptiste",<Null>,College de l'Assomption,L'Assomption,Quebec,"Founded L'Assomption College (1834), first Superintendent for Education (1842-55)","Fondateur du Collège de l'Assomption (1834), premier surintendant de l'éducation (1842-1855)",45.831425,-73.421179
Membertou (Anli-Maopeltoog),Membertou (Anli-maopeltoog),<Null>,On wooden support near path to reconstruction,Annapolis Royal,Nova Scotia,Grand Chief of Mi'kmaqs in Annapolis Valley; began the Mi'kmaq-French Alliance in 1610,"Chef d'une bande de Mi'kmaqs dans la vallée d'Annapolis; participa à l a création de l'alliance avec les Français, 1610",44.712349,-65.609241
Men of Letters,Hommes de Lettres,Main Street,in a park on the south side street,Shediac,New Brunswick,"Acadian literary figures 1880-1930, Pascal Poirier, Placide Gaudet, John Webster, Israël Landry and Ferdinand Robidoux","Figures de la littérature Acadienne 1880-1930, Pascal Poirier, Placide Gaudet, John Webster, Israël Landry et Ferdinand Robidoux",46.21865,-64.555944
"Menou d'Aulnay, Charles de","Menou d'Aulnay, Charles de",<Null>,Fort Anne NHSC,Annapolis Royal,Nova Scotia,"Governor of Acadia (1647-50), organized colonies at Port-Royal and Saint John","Gouverneur de l'Acadie (1647-1650), organisateur de colonies à Port-Royal et à Saint John",44.740872,-65.520326
"Mercier, Honoré","Mercier, Honoré",<Null>,<Null>,*    Sainte-Anne-de-la-Pérade,Quebec,"Premier of Quebec, 1887-91",Premier ministre du Québec (1887-1891),46.583319,-72.199999
"Merritt, William Hamilton","Merritt, William Hamilton",Welland Canals Parkway (formerly Government Road),lock #3 Welland Canal,St. Catharines,Ontario,"Industrialist, politician, led construction of the Welland Canal","Industriel, homme politique, dirigea la construction du canal Welland",43.155967,-79.194183
"Mills, David","Mills, David",315 King St.,in main corridor of the Kent County Building,Chatham,Ontario,Canadian Minister of the Interior (1876-78) and Minister of Justice (1897-1902),Ministre de l'Intérieur (1876-1878) et ministre de la Justice du Canada (1897-1902),42.404395,-82.190979
Misto-ha-a-Muska (Big Bear),Misto-ha-a-muska (Big Bear),<Null>,Fort Pitt Provincial Park,Fort Pitt,Saskatchewan,Leader of the Plains Cree; major figure in Canadian history; Northwest Rebellion 1885,Chef des Cris des Plaines; personnage important de l'histoire canadienne; Rébellion du Nord-Ouest,53.568439,-109.815242
"Mitchell, Mattie (Mathieu Michel)","Mitchell, Mattie (Mathieu Michel)",<Null>,Rocky Harbour,Gros Morne National Park of Canada,Newfoundland and Labrador,"Mi'kmaw hunter, guide and prospector; contribution to the exploration and mapping of Newfoundland","Chasseur, guide et prospecteur mi'kmaq; contribution à l'exploration et à la cartographie de Terre-Neuve",49.559294,-57.831517
"Mitchell, Peter","Mitchell, Peter",<Null>,<Null>,Newcastle,New Brunswick,"Father of Confederation, Prime Minister of New Brunswick (1866-67)","Père de la Confédération, premier ministre du Nouveau-Brunswick (1866-1867)",47,-65.566667
"Monck, Sir Charles Stanley (Lord Monck)","Monck, sir Charles Stanley (baron Monck)",<Null>,Rideau Hall and Landscaped Grounds NHSC,Ottawa,Ontario,Governor General of British North America (1861-67),Gouverneur général de l'Amérique du Nord britannique (1861-1867),45.444183,-75.68725
